x,y
4604,2001
2739,2000
3698,1998
4904,1996
3645,1994
4512,1992
2970,1992
3783,1990
4420,1987
4332,1985
3649,1984
3417,1984
4806,1981
4101,1978
4559,1978
3266,1977
3122,1975
3217,1975
3872,1973
4952,1973
4564,1968
2888,1965
3549,1962
5873,1960
4382,1959
4293,1959
2981,1959
3677,1957
4864,1955
2938,1956
3445,1953
4613,1953
3032,1952
2986,1949
2661,1948
3394,1946
4617,1944
4335,1942
5014,1942
3345,1942
3041,1942
3765,1938
3092,1939
2671,1940
2848,1938
4522,1935
3294,1938
3243,1935
4430,1931
4340,1931
2854,1929
3713,1922
2950,1920
3947,1913
2957,1910
4209,1910
3660,1909
4982,1909
3424,1907
5225,1907
4298,1905
4480,1905
4890,1905
5903,1902
3011,1902
3322,1897
3061,1898
3109,1895
3270,1895
3219,1894
3896,1890
5285,1888
4032,1888
4167,1886
4255,1879
4345,1876
4120,1875
3850,1869
4124,1865
2979,1863
3352,1862
3403,1860
3644,1858
3029,1857
2462,1855
3084,1852
3296,1852
3799,1850
5252,1849
3244,1849
4081,1843
5159,1834
5218,1813
4119,1812
3110,1807
3990,1803
5124,1798
3810,1793
4755,1786
5182,1776
3895,1774
5090,1764
3851,1762
3629,1756
2791,1748
2829,1748
5149,1740
3806,1741
5054,1729
3758,1726
3362,1706
5112,1705
3843,1700
5266,1695
5018,1695
2613,1695
3615,1694
3567,1687
3792,1685
4794,1661
3039,1659
3327,1656
4575,1652
5133,1645
3406,1611
5096,1610
3301,1610
4719,1604
5000,1602
4906,1599
5154,1586
5057,1577
4868,1567
4421,1556
4882,1506
5508,1505
4524,1486
4264,1485
5467,1462
4705,1456
4800,1447
4571,1436
4437,1430
4664,1424
4759,1420
4534,1420
5052,1418
4952,1419
4529,1411
5319,1409
4623,1401
4717,1390
4813,1386
4488,1387
4910,1387
4354,1384
4581,1376
4679,1374
5277,1367
5171,1362
4445,1363
4674,1365
4311,1363
4868,1355
4968,1353
4538,1350
4408,1348
4632,1338
4495,1325
5129,1325
4727,1329
4824,1325
4359,1318
4588,1312
4188,1314
4182,1306
4321,1306
4451,1301
4683,1301
4316,1297
5467,1296
4780,1295
4982,1287
3705,1289
4881,1289
4544,1286
4407,1278
4640,1276
3620,1272
3876,1266
4500,1262
4736,1267
4233,1267
5254,1266
4228,1259
4836,1259
4363,1256
5040,1258
4938,1256
4595,1248
4456,1238
4318,1235
5317,1234
4555,1231
5209,1226
3965,1233
4791,1229
4894,1224
4550,1223
5102,1222
4646,1212
4093,1207
3611,1211
3875,1206
4746,1199
4228,1196
3520,1198
4047,1190
4951,1191
5056,1189
4601,1186
4183,1179
4802,1163
5225,1161
4555,1160
4905,1159
5118,1155
4413,1152
3551,1141
3505,1135
4319,1109
4707,1105
4559,1092
4916,1088
3994,1056
4976,1053
4715,1039
3712,1046
4926,1020
4878,988
4617,985
4321,984
4828,959
4271,964
4936,952
4077,961
4121,909
4269,898
4070,894
4523,870
4734,839
4418,824
4736,772
4052,762
4205,742
4629,717
4787,607
