solution_id,optical_efficiency,total_cost_usd,peak_flux_kw_m2,helio_az_spacing,helio_rad_spacing
139,0.6421582007137027,247611862.5468188,744.8685123648543,2.3231263201905605,1.220690903917127
140,0.614,397199999.99999994,663.9935064935065,2.8,2.2
141,0.614,397199999.99999994,663.9935064935065,2.8,2.2
142,0.6488931722409557,262090125.32347035,729.5976714177825,2.254561139546713,1.4005201656036708
143,0.636,217200000.0,791.7592592592591,1.8,1.2
144,0.636,217200000.0,791.7592592592591,1.8,1.2
145,0.614,397199999.99999994,663.9935064935065,2.8,2.2
146,0.614,397199999.99999994,663.9935064935065,2.8,2.2
147,0.632,271200000.0,721.4880952380952,2.8,1.2
148,0.6229664979317213,322784164.7620205,689.3120979019458,2.048324896586066,2.2
149,0.6184166324771699,378650143.59588605,668.9415788992594,2.8,2.0527789174276676
150,0.6277045132590191,271997814.2006484,720.8241778053043,1.8,1.8765162246993632
151,0.6226240532794991,285715056.1453525,710.4089462047734,1.8,2.0458648906833643
152,0.6422854320510963,282912240.4396478,712.3944937985492,2.5849481490396777,1.4005201656036708
153,0.6140529948485925,396977421.6359114,664.0489495029668,2.8,2.198233505046916
154,0.6251807792725331,342002961.6033754,681.1474993931307,2.2456342725686027,2.196884509203162
155,0.614,397199999.99999994,663.9935064935065,2.8,2.2
156,0.636,217200000.0,791.7592592592591,1.8,1.2
157,0.6206263639925443,366521833.7406357,672.5793353059402,2.5649227252701015,2.1358393834017875
158,0.614,397199999.99999994,663.9935064935065,2.8,2.2
159,0.636,217200000.0,791.7592592592591,1.8,1.2
160,0.614,397199999.99999994,663.9935064935065,2.8,2.2
161,0.614,397199999.99999994,663.9935064935065,2.8,2.2
162,0.6488931722409557,262090125.32347035,729.5976714177825,2.254561139546713,1.4005201656036708
163,0.636,217200000.0,791.7592592592591,1.8,1.2
164,0.636,217200000.0,791.7592592592591,1.8,1.2
165,0.632,271200000.0,721.4880952380952,2.8,1.2
166,0.6434476776376841,240291270.37825304,753.9890932223251,2.2276161181157974,1.2
167,0.618,298200000.00000006,702.3232323232323,1.8,2.2
168,0.6208023548329829,290633641.95094633,707.0822352575586,1.8,2.1065881722339053
169,0.6330640223933774,293101235.8400773,705.4844798316111,2.0575403650507638,1.8695594969212619
170,0.6199312830733237,307759851.2129523,696.8588365747527,1.8965641536661848,2.2
171,0.614,397199999.99999994,663.9935064935065,2.8,2.2
172,0.6300760225736068,301326851.05408657,700.4725204172622,2.050904660516928,1.9647356878910571
173,0.6379205351273138,222385444.84374723,781.7941290794516,1.8,1.264017837577126
174,0.6416836284109424,245054203.2904557,747.9336839288763,2.3158185794528827,1.2
175,0.614,397199999.99999994,663.9935064935065,2.8,2.2
176,0.6227059417731198,302664439.10493135,699.7001818948113,1.9149378879875538,2.11976053288771
177,0.6205432240063307,310788958.83133674,695.2416498163664,1.9271612003165324,2.2
178,0.6348090414028273,275930485.09699583,717.6508080706822,2.749771485940405,1.2601490373878474
179,0.6228052774622221,298408423.9381378,702.197852981603,1.8887984968512688,2.099023082493442
180,0.614,397199999.99999994,663.9935064935065,2.8,2.2
181,0.614,397199999.99999994,663.9935064935065,2.8,2.2
182,0.6488931722409557,262090125.32347035,729.5976714177825,2.254561139546713,1.4005201656036708
183,0.636,217200000.0,791.7592592592591,1.8,1.2
184,0.636,217200000.0,791.7592592592591,1.8,1.2
185,0.6231233973965266,352039182.8871938,677.421424528536,2.343830130173674,2.2
186,0.6404664688301457,229259465.84139344,770.0420419203111,2.023323441507286,1.2
187,0.632723578278032,279284890.1554374,715.0678857946723,1.9537589544197205,1.811720027012079
188,0.614,397199999.99999994,663.9935064935065,2.8,2.2
189,0.6199312830733237,307759851.2129523,696.8588365747527,1.8965641536661848,2.2
190,0.6239284831904881,327545991.7929163,687.1482502976131,2.096424159524407,2.2
191,0.6205432240063307,310788958.83133674,695.2416498163664,1.9271612003165324,2.2
192,0.6255765365479328,310086901.28951186,695.6118773585123,2.0182672993857373,2.0929603146594014
193,0.6481947912231913,257534013.9992401,734.0565100507113,2.1460121971581154,1.4241817573323654
194,0.6379205351273138,222385444.84374723,781.7941290794516,1.8,1.264017837577126
195,0.6191969670185685,304124986.7419144,698.8696612470487,1.8598483509284287,2.2
196,0.6216494386792221,316264721.46214914,692.4449195837183,1.982471933961102,2.2
197,0.6313701203267705,324725092.80750597,688.4179574068255,2.749771485940405,1.65448166514738
198,0.6216931293620298,316480990.34204763,692.337660842944,1.9846564681014913,2.2
199,0.6317283259244553,318895606.7679178,691.1559700125306,2.1999941327471686,2.0090518910162687
